    19/199     20.4G   0.05231    0.3524  0.004363    0.4091      1180       416    0.5331    0.9345    0.9036    0.3933   0.04652    0.4211  0.004044
    20/199     20.4G   0.05189    0.3477  0.004258    0.4038      1137       416    0.4806    0.9234    0.8714    0.3487   0.04716    0.4317  0.004041
    21/199     20.4G   0.05108    0.3438  0.004222    0.3991      1212       416    0.5634    0.9288    0.9002     0.302   0.04931     0.447  0.004226
    22/199     20.4G   0.05103    0.3437  0.004086    0.3988       913       416     0.529    0.9081    0.8267    0.3279   0.04778    0.4508  0.003749
    23/199     20.4G   0.05034     0.348  0.003993    0.4023      1094       416    0.4823    0.7827    0.6235    0.2043   0.05561      0.52  0.004795
    24/199     20.4G   0.05003    0.3453  0.003942    0.3993      1085       416    0.4704    0.9092    0.8211    0.3109   0.04809    0.4785  0.004014
    25/199     20.4G   0.04984     0.343  0.003894    0.3968      1099       416    0.5103    0.7965    0.6483    0.2205   0.05193    0.5163   0.00426
    26/199     20.4G   0.04931    0.3436  0.003831    0.3968      1021       416    0.5538    0.9112    0.8151     0.298   0.04877    0.4466  0.003642
    27/199     20.4G   0.04899    0.3439  0.003754    0.3966       986       416    0.5459    0.8369    0.7083    0.2292   0.05238    0.4974  0.004119
    28/199     20.4G   0.04863     0.344  0.003746    0.3964      1303       416    0.5443    0.9187    0.8556    0.3518     0.047    0.4372  0.003592
    29/199     20.4G   0.04873    0.3386  0.003633     0.391      1129       416    0.5767    0.8898    0.7894    0.2856    0.0496     0.451  0.003744
    30/199     20.4G   0.04794    0.3412  0.003567    0.3927       850       416    0.4824    0.9044    0.8117    0.2799    0.0493    0.5035  0.003846
    31/199     20.4G   0.04797    0.3407  0.003637    0.3923      1270       416    0.5516    0.8049    0.6619    0.2297   0.05216    0.5101  0.004251
    32/199     20.4G   0.04766    0.3402  0.003584    0.3915      1173       416    0.6067    0.9058    0.8486    0.3291   0.04783    0.4345  0.003601
    33/199     20.4G   0.04753    0.3419  0.003611     0.393      1080       416    0.5788    0.8798    0.7696    0.2831   0.04882    0.4589  0.003642
    34/199     20.4G   0.04736    0.3367  0.003452    0.3875      1035       416     0.631     0.928    0.9013    0.3644   0.04569    0.4249  0.003502
    35/199     20.4G   0.04679    0.3396  0.003435    0.3898      1194       416    0.6218    0.9027    0.8447    0.3662   0.04491    0.4306  0.003494
    36/199     20.4G   0.04664    0.3333  0.003326    0.3832      1067       416    0.5978    0.8236    0.7101    0.2338   0.05219    0.5037  0.003899
    37/199     20.4G   0.04629    0.3289  0.003321    0.3785      1355       416     0.596     0.927    0.8908    0.4035   0.04413    0.4247   0.00319
    38/199     20.4G   0.04602    0.3318  0.003312    0.3811      1098       416    0.6332    0.8865    0.8206    0.3021   0.04946    0.4576  0.003487
    39/199     20.4G   0.04558    0.3259  0.003164    0.3747       957       416    0.6457    0.9244    0.9073    0.4266   0.04268    0.4047  0.003106
    40/199     20.4G   0.04589    0.3296  0.003294    0.3788      1216       416    0.5995    0.8932    0.8245    0.3224   0.04873    0.4539  0.003489
    41/199     20.4G   0.04558      0.33  0.003194    0.3788      1089       416    0.6226    0.8955    0.8607     0.325   0.05096    0.4611  0.003436
    42/199     20.4G   0.04535    0.3282   0.00315    0.3767      1176       416    0.6659    0.9009    0.8582    0.3476   0.04856    0.4452  0.003351
    43/199     20.4G    0.0453    0.3287  0.003265    0.3772       968       416    0.6656    0.9097    0.8813    0.3791   0.04563     0.438  0.003355
    44/199     20.4G   0.04489     0.327  0.003201    0.3751      1139       416    0.6133    0.8307    0.7351    0.2409   0.05395    0.5021  0.003714
    45/199     20.4G    0.0449    0.3251  0.003223    0.3733      1185       416    0.6333     0.876    0.8086    0.2922   0.05057    0.4487  0.003456
